codice_aic;numero
35681055; 2
27276120; 2
25462021; 2
32010011; 2
35672056; 2
29532013; 2
35575051; 2
27686082; 2
26851028; 2
26844163; 2
35681081; 2
36683062; 2
37610021; 2
35893015; 2
21649037; 2
36170013; 2
36017147; 2
37610019; 2
26851016; 2
36693063; 2
35575063; 2
36016145; 2
26962050; 2
25462019; 2
26962062; 2
